incident_id;datum;country_id;region_id;subregion_id;ort;elevation;latitude;longitude;incline;aspect_id;danger_id;n_injured;n_dead;n_uninjured;involved_sum;involved;valid_time;revision
8411;2012-02-17 00:00:00;1;1;175;Grasingalm;;47.390125;12.240125;;;3;0;0;;;none;true;1
8413;2012-02-17 00:00:00;1;1;184;Hohes Haus;;46.895033;12.535033;;;3;0;0;;;none;true;1
8415;2012-02-17 00:00:00;1;1;172;Kreuzjoch;;47.115282999999;11.005283;;;3;0;0;;;none;true;1
8416;2012-02-17 00:00:00;1;1;172;Niederer Burgstall;2300;47.115284999999;11.005285;38;6;3;0;0;;;none;true;1
8417;2012-02-17 00:00:00;1;1;160;Nordpark;;47.395097;11.260097;;;3;0;0;;;none;true;1
8418;2012-02-17 00:00:00;1;1;175;Unterschnappalm;;47.390126;12.240126;;;3;0;0;;;none;true;1
8419;2012-02-18 00:00:00;1;1;175;Bromberg;;47.390127;12.240127;;;3;0;0;;;none;true;1
8420;2012-02-18 00:00:00;1;1;175;Choralpe;;47.390128;12.240128;;;3;1;0;;;yes;true;1
8421;2012-02-18 00:00:00;1;1;173;Gedrechter;;47.235147;11.645147;;;3;0;0;;;none;true;1
8422;2012-02-18 00:00:00;1;1;172;Glanderspitze;;47.115283999999;11.005284;;;3;0;0;;;none;true;1
8423;2012-02-18 00:00:00;1;1;173;Hirzer;;47.235148;11.645148;;;3;0;0;;;none;true;1
8424;2012-02-18 00:00:00;1;1;175;Isskogel;;47.390129;12.240129;;;3;0;0;;;none;true;1
8425;2012-02-18 00:00:00;1;1;173;Kaltenbach;2100;47.235149;11.645149;;8;3;0;0;;;yes;true;1
8426;2012-02-18 00:00:00;1;1;180;Kleegrube;;47.105066;11.810066;;;3;0;0;;;none;true;1
8428;2012-02-18 00:00:00;1;1;165;Scharkopf;;47.270206999999;10.535207;;;3;0;0;;;none;true;1
8429;2012-02-18 00:00:00;1;1;175;Sonnjoch;2190;47.39013;12.24013;;4;3;1;0;;;yes;true;1
8430;2012-02-18 00:00:00;1;1;165;Stabalm;;47.270207999999;10.535208;;;3;0;0;;;none;true;1
8431;2012-02-18 00:00:00;1;1;175;Standlhöhe;;47.390131;12.240131;;;3;0;0;;;yes;true;1
8432;2012-02-18 00:00:00;1;1;173;Wanglspitze;;47.235151;11.645151;;;3;0;0;;;none;true;1
8433;2012-02-18 00:00:00;1;1;175;Wildseeloder;1823;47.390132;12.240132;;;3;2;0;;;none;true;1
8434;2012-02-19 00:00:00;1;1;175;Kreuzjoch;2000;47.390133;12.240133;;2;3;0;0;;;none;true;1
8437;2012-02-21 00:00:00;1;1;172;Kreuzjochbahn;2140;47.115285999999;11.005286;;4;3;0;0;;;yes;true;1
8438;2012-02-21 00:00:00;1;1;160;Mandlscharte;2233;47.395098;11.260098;;1;3;1;0;;;yes;true;1
8439;2012-02-21 00:00:00;1;1;173;Obere Nurpensalm;;47.235152;11.645152;;;3;0;0;;;none;true;1
8441;2012-02-21 00:00:00;1;1;180;Schöberspitze;;47.105067;11.810067;;5;3;0;0;;;none;true;1
8443;2012-02-21 00:00:00;1;1;173;Tarntaler Köpfe;2550;47.16095;11.618547;45;8;3;0;1;;;yes;true;1
8444;2012-02-22 00:00:00;1;1;172;Gasteig;;47.115286999999;11.005287;;;3;0;0;;;none;true;1
8445;2012-02-22 00:00:00;1;1;177;Pitztaler Landesstraße;;46.930297999999;10.985298;;;3;0;0;;;none;true;1
8446;2012-02-23 00:00:00;1;1;160;Igelskopf;;47.395099;11.260099;;;2;0;0;;;none;true;1
8447;2012-02-24 00:00:00;1;1;165;Galtjoch;;47.270208999999;10.535209;;;3;0;0;;;none;true;1
8448;2012-02-24 00:00:00;1;1;172;Kühtai;2280;47.115287999999;11.005288;;;3;2;0;;;yes;true;1
8449;2012-02-24 00:00:00;1;1;173;Lanersbach;;47.235154;11.645154;;;3;0;0;;;yes;true;1
8450;2012-02-24 00:00:00;1;1;177;Mandarfen;1630;46.930298999999;10.985299;;;3;0;0;;;none;true;1
8451;2012-02-24 00:00:00;1;1;160;Rumer Alm;;47.3951;11.2601;;;3;0;0;;;none;true;1
8452;2012-02-24 00:00:00;2;9;18;Spisser Landesstraße;;46.995104;10.385104;;;3;0;0;;;none;true;1
8453;2012-02-24 00:00:00;1;1;177;Venter Straße;;46.930299999999;10.9853;;;3;0;0;;;none;true;1
8454;2012-02-24 00:00:00;1;1;160;Wettersteinhütte;;47.395101;11.260101;;;3;0;0;;;none;true;1
8455;2012-02-25 00:00:00;1;1;173;Arztal;;47.235155;11.645155;;;3;0;0;;;none;true;1
8457;2012-02-25 00:00:00;1;1;177;Gurglerstraße;1700;46.930300999999;10.985301;;3;3;1;0;;;yes;true;1
8458;2012-02-25 00:00:00;1;1;165;Tannheimer Straße;1100;47.270210999999;10.535211;;5;3;0;0;;;none;true;1
8459;2012-02-27 00:00:00;1;1;173;Arztal;;47.235156;11.645156;;;2;0;0;;;none;true;1
